"pickup_city","driver_name","total_revenue"
"Boston","Driver_1176","448.40"
"Boston","Driver_286","326.58"
"Boston","Driver_1141","315.88"
"Calgary","Driver_1980","476.91"
"Calgary","Driver_1059","346.86"
"Calgary","Driver_404","338.80"
"Chicago","Driver_413","449.45"
"Chicago","Driver_1410","421.90"
"Chicago","Driver_1941","331.53"
"Los Angeles","Driver_761","433.12"
"Los Angeles","Driver_448","373.29"
"Los Angeles","Driver_287","334.24"
"Montreal","Driver_163","377.87"
"Montreal","Driver_1328","341.06"
"Montreal","Driver_541","337.00"
"New York","Driver_681","338.41"
"New York","Driver_1708","318.65"
"New York","Driver_1910","303.01"
"Ottawa","Driver_418","358.10"
"Ottawa","Driver_76","353.81"
"Ottawa","Driver_645","309.70"
"San Francisco","Driver_286","354.75"
"San Francisco","Driver_13","352.62"
"San Francisco","Driver_1626","352.13"
"Toronto","Driver_988","380.56"
"Toronto","Driver_372","363.52"
"Toronto","Driver_383","322.63"
"Vancouver","Driver_1924","365.35"
"Vancouver","Driver_508","358.06"
"Vancouver","Driver_578","329.28"
