ride_id,rider_id,driver_id,request_time,pickup_time,dropoff_time,pickup_city,dropoff_city,distance_miles,status,estimated_fare,amount,method,paid_date,driver_static_rating
1,2548,122,1/27/2022 9:49,1/27/2022 9:51,1/27/2022 10:13,San Francisco,Vancouver,7.959784756,completed,32.26,32.26,PayPal,1/27/2022 10:42,4
2,3464,1498,7/24/2021 13:21,7/24/2021 13:36,7/24/2021 14:28,Calgary,Toronto,2.622192949,cancelled,19.77,0,cash,7/24/2021 15:28,5
3,5897,1183,7/25/2023 20:43,7/25/2023 20:55,7/25/2023 21:12,New York,Chicago,1.926255484,cancelled,10.59,0,voucher,7/25/2023 21:32,5
5,2446,449,8/17/2024 2:51,8/17/2024 2:54,8/17/2024 3:07,Vancouver,Vancouver,14.93780059,completed,55.85,55.85,Credit Card,8/17/2024 3:43,4.2
6,2084,1425,9/22/2024 12:34,9/22/2024 12:36,9/22/2024 12:56,Los Angeles,Boston,1.932469211,completed,7.2,7.2,voucher,9/22/2024 13:34,4
8,3229,6,11/26/2023 17:35,11/26/2023 17:49,11/26/2023 17:57,Los Angeles,Ottawa,17.36736799,completed,78.47,78.47,voucher,11/26/2023 18:19,4.4
9,7209,936,12/15/2022 23:05,12/15/2022 23:11,12/15/2022 23:41,Ottawa,Toronto,6.412566642,completed,24.19,24.19,cash,12/16/2022 0:03,4.2
10,3675,271,4/7/2024 21:34,4/7/2024 21:36,4/7/2024 22:24,New York,Chicago,12.16026446,cancelled,52.98,0,paypal,4/7/2024 22:52,5
11,1469,852,11/27/2023 10:31,11/27/2023 10:46,11/27/2023 11:43,Toronto,Vancouver,7.071221743,completed,25.29,25.29,voucher,11/27/2023 12:41,4.2
12,9964,84,8/29/2024 21:30,8/29/2024 21:33,8/29/2024 22:15,Calgary,Boston,16.63414816,completed,68.67,68.67,paypal,8/29/2024 23:10,4.2
13,478,540,1/21/2022 3:55,1/21/2022 4:09,1/21/2022 5:01,Calgary,San Francisco,11.17849553,completed,41.05,41.05,cash,1/21/2022 5:53,4.2
14,6343,803,9/9/2021 23:20,9/9/2021 23:23,9/10/2021 0:04,Toronto,Boston,12.92455292,completed,57.71,57.71,cash,9/10/2021 0:28,4.5
16,6039,1985,7/30/2024 19:38,7/30/2024 19:45,7/30/2024 20:43,Montreal,Vancouver,9.991673605,completed,46.83,46.83,Credit Card,7/30/2024 21:00,5
17,665,785,12/30/2021 7:13,12/30/2021 7:25,12/30/2021 7:55,Chicago,Toronto,5.511576174,completed,21.44,21.44,cash,12/30/2021 8:04,4.8
18,6451,742,7/16/2022 20:03,7/16/2022 20:04,7/16/2022 20:28,Ottawa,San Francisco,3.032298955,completed,8.01,8.01,Credit Card,7/16/2022 21:15,3.9
19,4174,616,10/17/2023 2:27,10/17/2023 2:28,10/17/2023 3:01,Montreal,Montreal,14.11137485,completed,51.78,51.78,Credit Card,10/17/2023 3:02,4.6
20,5017,1239,4/11/2024 11:31,4/11/2024 11:35,4/11/2024 12:25,Boston,Ottawa,9.830116694,completed,38.69,38.69,voucher,4/11/2024 12:42,4.8
21,140,620,10/3/2023 10:13,10/3/2023 10:23,10/3/2023 10:52,Chicago,Vancouver,13.35951384,completed,61.34,61.34,Credit Card,10/3/2023 11:05,4.6
22,2768,790,7/29/2021 5:35,7/29/2021 5:42,7/29/2021 6:40,Toronto,Toronto,0.689723738,completed,8.89,8.89,cash,7/29/2021 6:41,3.7
23,2407,524,12/3/2021 5:32,12/3/2021 5:45,12/3/2021 6:16,Chicago,Los Angeles,6.319360732,completed,25.83,25.83,paypal,12/3/2021 6:26,4.8
24,9090,1425,5/13/2022 23:23,5/13/2022 23:28,5/14/2022 0:16,Chicago,Toronto,5.492934992,cancelled,21.8,0,paypal,5/14/2022 0:49,4
25,8409,1304,10/8/2024 19:04,10/8/2024 19:05,10/8/2024 19:44,Vancouver,Ottawa,14.83838095,cancelled,61.21,0,paypal,10/8/2024 20:05,4.1
26,1608,1516,8/26/2023 10:43,8/26/2023 10:58,8/26/2023 11:29,Chicago,Boston,17.01939926,completed,77.94,77.94,paypal,8/26/2023 11:55,4.4
